ECN_CODE,PLNTT_CODE_SHORT,PLNTT_CODE,BRC_CODE_short,BRC_CODE,BRC_CONCEPT,NBN,ECN_name_plus_extras,BRC_NAME,PLABRYATT_VTA NAME,DESC_ABBR,GROWTH_STAGE,PHYLUM,TX_LV_ECN,TX_LV_BRC_PLNTT,PLANT_TYPE,Tjan,Tjul,Prec,E1,E2,L,F,R,N,S,HM,Ord,FamA,VTR Taxon name,Competitor,Ruderal,Stress Tolerant,BRC V PLNATT,match comment
236,0920_240,0920   240,0920_240,902 240,Vas_240,,Betula pubescens (c),Betula pubescens,Betula pubescens,betu pubes (c),(c),vascular,spp,spp,,3.393389991,14.43134718,1123.346667,5,4,7,7,4,4,0,,Faga,Betu,Betula pubescens,3,0,1,match,
2605,0920_240,0920   240,0920_240,902 240,Vas_240,,Betula pubescens (g),Betula pubescens,Betula pubescens,betu pubes (g),(g),vascular,spp,spp,,3.393389991,14.43134718,1123.346667,5,4,7,7,4,4,0,,Faga,Betu,Betula pubescens,3,0,1,match,
2604,0920_240,0920   240,0920_240,902 240,Vas_240,,Betula pubescens (s),Betula pubescens,Betula pubescens,,(s),vascular,spp,spp,,3.393389991,14.43134718,1123.346667,5,4,7,7,4,4,0,,Faga,Betu,Betula pubescens,3,0,1,match,
241,0920_243,0920   243,0920_243,902 243,Vas_243,,Blackstonia perfoliata,Blackstonia perfoliata,Blackstonia perfoliata,,,vascular,spp,spp,,4.029592668,15.76730143,812.0712602,9,2,8,5,8,2,0,,Gent,Gent,Blackstonia perfoliata,0,2,2,match,
242,0910_244,0910   244,0910_244,902 244,Vas_244,,Blechnum spicant,Blechnum spicant,Blechnum spicant,blec spica,,vascular,spp,spp,,3.452551055,14.13938065,1197.699627,7,3,5,6,3,3,0,,Poly,Blec,Blechnum spicant,0.675,0.675,2.65,match,
243,0920_245,0920   245,,,,,Blysmus compressus,,Blysmus compressus,,,vascular,spp,spp,sedge,3.17609375,15.21794271,839.8562305,7,3,8,8,8,3,0,,Poal,Cype,Blysmus compressus,NA,NA,NA,match,
1213,0920_1860,0920  1860,,,,,Scirpus maritimus,,Bolboschoenus maritimus,,,vascular,spp,spp,grass,4.298915907,15.0693617,1020.44633,8,4,8,10,8,7,4,,Poal,Cype,Bolboschoenus maritimus,NA,NA,NA,match,
245,0910_248,0910   248,0910_248,902 248,Vas_248,,Botrychium lunaria,Botrychium lunaria,Botrychium lunaria,,,vascular,spp,spp,,2.973103448,13.77186047,1258.961391,5,6,8,4,6,2,0,,Ophi,Ophi,Botrychium lunaria,NA,NA,NA,match,
246,0920_249,0920   249,0920_249,902 249,Vas_249,,Brachypodium pinnatum,Brachypodium pinnatum s.l.,Brachypodium pinnatum,,,vascular,spp,spp,,3.605714286,15.88174603,744.5940119,7,4,7,3,8,3,0,,Poal,Poac,Brachypodium pinnatum,2,0,2,match,
247,0920_250,0920   250,0920_250,902 250,Vas_250,,Brachypodium sylvaticum,Brachypodium sylvaticum,Brachypodium sylvaticum,brachyp sylva,,vascular,spp,spp,,3.679763448,14.74468244,1062.122382,7,3,6,5,6,5,0,,Poal,Poac,Brachypodium sylvaticum,1.7,0.6,1.7,match,
251,0920_256,0920   256,0920_256,902 256,Vas_256,,Briza media,Briza media,Briza media,briz media,,vascular,spp,spp,,3.490607055,14.88155045,970.516292,7,3,8,5,7,3,0,,Poal,Poac,Briza media,0.675,0.675,2.65,match,
256,0920_263,0920   263,0920_263,902 263,Vas_263,,Bromus erectus,Bromopsis erecta,Bromopsis erecta,brom erect,,vascular,spp,spp,,3.735803783,15.8841253,763.9682979,7,3,7,4,8,3,0,,Poal,Poac,Bromopsis erecta,1.7,0.6,1.7,match,
260,0920_272,0920   272,0920_272,902 272,Vas_272,,Bromus ramosus,Bromopsis ramosa,Bromopsis ramosa,brom ramos,,vascular,spp,spp,,3.526999144,14.94071062,995.2218172,7,3,4,6,7,7,0,,Poal,Poac,Bromopsis ramosa,1.333333333,1.333333333,1.333333333,match,
254,0920_262,0920   262,0920_262,902 262,Vas_262,,Bromus commutatus,Bromus commutatus,Bromus commutatus,,,vascular,spp,spp,,3.884039548,16.06542373,772.3541419,7,3,7,4,8,6,0,,Poal,Poac,Bromus commutatus,NA,NA,NA,match,
3080,0920_269,0920   269,,,,,Bromus hordeaceus ferronii,,Bromus hordeaceus,,,vascular,subsp,spp,,3.691851393,14.72013932,1051.1895,8,3,8,4,7,4,0,,Poal,Poac,Bromus hordeaceus,1,3,0,resolved,matched to spp not subsp
258,0920_269,0920   269,0920_270,902 270,Vas_270,,Bromus hordeaceus hordeaceus,Bromus hordeaceus subsp. hordeaceus,Bromus hordeaceus,brom horde,,vascular,subsp,spp,,3.691851393,14.72013932,1051.1895,8,3,8,4,7,4,0,,Poal,Poac,Bromus hordeaceus,1,3,0,resolved,"0920_270 not found in PLANTATT, used spp instead"
259,0920_271,0920   271,0920_271,902 271,Vas_271,,Bromus racemosus,Bromus racemosus,Bromus racemosus,,,vascular,spp,spp,,3.992040472,15.84652614,852.2520531,7,3,6,6,7,8,0,,Poal,Poac,Bromus racemosus,NA,NA,NA,match,
264,0920_276,0920   276,0920_276,902 276,Vas_276,,Bryonia cretica dioica,Bryonia dioica,Bryonia dioica,bryoni creti,,vascular,spp,spp,,3.611717974,16.00788481,726.2852979,9,2,7,5,7,7,0,,Cucu,Cucu,Bryonia dioica,2.65,0.675,0.675,match,
269,0920_292,0920   292,,,,,Calamagrostis canescens,,Calamagrostis canescens,,,vascular,spp,spp,grass,3.365494881,15.69921502,723.1326706,5,4,7,9,7,5,0,,Poal,Poac,Calamagrostis canescens,3,0,1,match,
270,0920_293,0920   293,0920_293,902 293,Vas_293,,Calamagrostis epigejos,Calamagrostis epigejos,Calamagrostis epigejos,,,vascular,spp,spp,,3.683340381,15.71197674,811.6426427,5,5,7,7,7,6,0,,Poal,Poac,Calamagrostis epigejos,3,0,1,match,
274,0920_303.1,0920   303.1,0920_303.1,902 303.1,Vas_303.1,,Callitriche hamulata,Callitriche hamulata,Callitriche hamulata,callit hamul,,vascular,spp,spp,,3.260044096,14.23166095,1162.040817,5,2,7,11,6,5,0,,Lami,Plan,Callitriche hamulata,0,3,1,match,
278,0920_309,0920   309,0920_309,902 309,Vas_309,,Calluna vulgaris,Calluna vulgaris,Calluna vulgaris,call vulga,,vascular,spp,spp,,3.50461168,14.26943408,1156.513219,5,3,7,6,2,2,0,,Eric,Eric,Calluna vulgaris,1,0,3,match,
279,0920_310,0920   310,0920_310,902 310,Vas_310,,Caltha palustris,Caltha palustris,Caltha palustris,,,vascular,spp,spp,,3.433555815,14.3823958,1110.906118,3,6,7,9,6,4,0,,Ranu,Ranu,Caltha palustris,1.333333333,1.333333333,1.333333333,match,
281,0920_311,0920   311,0920_311,902 311,Vas_311,,Calystegia sepium,Calystegia sepium,Calystegia sepium,,,vascular,spp,spp,,3.754447351,14.87297907,1021.310903,7,6,7,8,7,7,1,,Sola,Conv,Calystegia sepium,3,1,0,match,
2667,0920_320,0920   320,0920_320,902 320,Vas_320,,Campanula rapunculoides,Campanula rapunculoides,Campanula rapunculoides,,,vascular,spp,spp,,3.402712146,15.48500832,762.8680782,7,3,6,4,7,5,0,,Aste,Camp,Campanula rapunculoides,1.7,1.7,0.6,match,
288,0920_322,0920   322,0920_322,902 322,Vas_322,,Campanula rotundifolia,Campanula rotundifolia,Campanula rotundifolia,campa rotun,,vascular,spp,spp,,3.174710485,14.4133216,1103.785214,5,6,7,4,5,2,0,,Aste,Camp,Campanula rotundifolia,0.675,0.675,2.65,match,
292,0920_328,0920   328,0920_328,902 328,Vas_328,,Cardamine flexuosa,Cardamine flexuosa,Cardamine flexuosa,card flexu,,vascular,spp,spp,,3.499396226,14.48824093,1110.296386,7,3,5,7,6,6,0,,Bras,Bras,Cardamine flexuosa,0,3,1,match,
293,0920_329,0920   329,0920_329,902 329,Vas_329,,Cardamine hirsuta,Cardamine hirsuta,Cardamine hirsuta,card hirsu,,vascular,spp,spp,,3.55326987,14.61204291,1070.494878,8,4,8,5,6,6,0,,Bras,Bras,Cardamine hirsuta,0,2,2,match,
295,0920_331,0920   331,0920_331,902 331,Vas_331,,Cardamine pratensis,Cardamine pratensis,Cardamine pratensis,card prate,,vascular,spp,spp,,3.52210324,14.44449753,1104.254448,3,6,7,8,5,4,0,,Bras,Bras,Cardamine pratensis,0.675,2.65,0.675,match,
298,0920_335,0920   335,0920_5687.1,902 5687.1,Vas_5687.1,,Carduus acanthoides,Carduus crispus subsp. multiflorus,Carduus crispus,,,vascular,spp,spp,,3.504691196,15.43703679,832.4556258,7,4,7,4,8,7,0,,Aste,Aste,Carduus crispus,2,2,0,resolved,"0920_5687.1 not found in PLANTATT, used NBN preferred name"
299,0920_337,0920   337,0920_337,902 337,Vas_337,,Carduus nutans,Carduus nutans,Carduus nutans,,,vascular,spp,spp,,3.71916129,15.71083871,797.2111452,7,4,7,4,8,5,0,,Aste,Aste,Carduus nutans,1,3,0,match,
301,0920_340,0920   340,,,,,Carex acuta,,Carex acuta,,,vascular,spp,spp,rush,3.502531486,15.48933249,830.0329251,5,4,7,9,7,5,0,,Poal,Cype,Carex acuta,3,0,1,match,
302,0920_341,0920   341,0920_341,902 341,Vas_341,,Carex acutiformis,Carex acutiformis,Carex acutiformis,,,vascular,spp,spp,,3.515745433,15.26139069,888.831678,7,4,7,9,7,6,0,,Poal,Cype,Carex acutiformis,3,0,1,match,
